x y z dx dy dz magnitude
7.33674 18.387 2.50104 -0.514089 0.153154 7.47907 7.49828
14.2529 7.99644 16.9966 -4.5062 7.06268 -9.37461 12.5726
6.731 -8.98767 22.284 8.51665 16.1958 -12.1788 21.9809
14.4661 3.74279 18.8727 1.37923 -6.61616 -117.307 117.501
-2.52296 45.3354 17.71 7.36209 -37.0784 -3.69081 37.982
-15.1404 16.3025 17.8921 23.7026 -10.0244 -13.5281 29.0743
12.3775 -30.3503 31.4771 4.32673 60.4316 -7.30523 61.0251
12.2576 22.113 21.9032 3.56749 60.9813 7.16559 61.5044
22.8764 22.6899 10.7625 7.99462 1.59023 5.48829 9.8267
-4.44204 15.5714 -2.57475 11.6138 -5.04357 17.9481 21.9648
27.327 20.6418 30.1544 -6.09345 -11.3974 -24.1199 27.3642
18.1183 16.234 11.2412 -8.7274 -2.77519 21.6343 23.4928
17.1998 10.9571 16.4923 4.31184 1.2311 -8.43653 9.55419
-1.863 29.6913 8.18999 19.0485 -5.56055 10.777 22.5812
22.8596 20.1056 22.653 0.0960173 12.7001 -0.687833 12.7191
26.8716 17.6373 8.00315 -3.93213 -6.6058 22.2959 23.584
20.7516 25.2135 9.61432 6.12595 -4.11715 7.84952 10.7747
11.051 16.7742 20.0858 -2.34139 0.530026 12.8867 13.1084
-0.491413 16.7825 6.67542 6.79211 -6.11126 9.7192 13.3395
20.2058 9.6678 14.9597 11.3807 6.86651 13.2506 18.7683
15.2956 2.84923 20.5187 -5.84389 2.92313 -6.2978 9.07513
5.52682 10.9624 17.7469 0.329994 -21.5597 17.1072 27.5243
13.4703 19.7131 22.5763 -4.87031 -11.9935 1.68248 13.0535
17.6895 15.7375 41.894 -10.857 -11.2753 -25.9399 30.2966
17.1596 11.5017 17.0295 -21.5036 7.00998 -2.6837 22.776
29.8598 33.1344 0.58914 -12.4436 -14.6678 6.93667 20.4476
7.16984 -16.8937 25.6894 12.5562 37.0869 -2.0528 39.2085
13.7126 20.0383 3.55021 -17.1098 -4.97143 -23.4048 29.4151
22.5938 13.4648 6.34498 9.6353 -11.1311 -10.3913 18.0199
